nodeid,rdtimestamp,rssi,snr
tinovi-01,1742820300,-83.0,10.0
tinovi-02,1742820300,-70.5,9.5
tinovi-03,1742820300,-89.0,8.8
tinovi-04,1742820300,-72.0,9.0
tinovi-05,1742820300,-78.0,8.6
tinovi-06,1742820300,-80.0,9.0
milesight-01,1742821200,-81.0,10.5
milesight-02,1742821200,-83.0,10.5
tinovi-01,1742821200,-79.5,8.4
tinovi-02,1742821200,-72.0,8.5
tinovi-03,1742821200,-92.0,7.0
tinovi-04,1742821200,-72.5,8.5
tinovi-05,1742821200,-78.0,9.3
tinovi-06,1742821200,-80.0,9.8
milesight-01,1742822100,-77.0,8.9
milesight-02,1742822100,-87.0,7.3
tinovi-01,1742822100,-84.0,9.3
tinovi-02,1742822100,-69.0,9.4
tinovi-03,1742822100,-89.0,9.6
tinovi-04,1742822100,-74.0,10.0
tinovi-05,1742822100,-78.5,10.0
tinovi-06,1742822100,-78.0,8.1
milesight-01,1742823000,-77.0,8.0
milesight-02,1742823000,-89.0,9.0
tinovi-01,1742823000,-82.0,8.4
tinovi-02,1742823000,-69.0,7.0
tinovi-03,1742823000,-89.0,7.3
tinovi-04,1742823000,-72.5,9.0
tinovi-05,1742823000,-78.0,8.8
tinovi-06,1742823000,-78.0,9.3
milesight-01,1742823900,-77.0,9.6
milesight-02,1742823900,-77.5,9.6
tinovi-01,1742823900,-82.0,8.8
tinovi-02,1742823900,-70.5,9.9
tinovi-03,1742823900,-89.5,9.4
tinovi-04,1742823900,-72.0,7.3
tinovi-05,1742823900,-80.5,10.5
tinovi-06,1742823900,-76.0,7.9
milesight-01,1742824800,-79.0,8.5
milesight-02,1742824800,-81.0,10.5
tinovi-01,1742824800,-83.0,9.3
tinovi-02,1742824800,-71.0,9.5
tinovi-04,1742824800,-73.0,9.1
tinovi-05,1742824800,-79.0,7.0
tinovi-06,1742824800,-79.0,9.0
milesight-01,1742825700,-76.5,9.3
milesight-02,1742825700,-88.0,7.5
tinovi-01,1742825700,-81.0,9.8
tinovi-02,1742825700,-72.0,8.5
tinovi-03,1742825700,-90.5,8.1
tinovi-04,1742825700,-73.0,7.3
tinovi-05,1742825700,-79.5,10.8
tinovi-06,1742825700,-79.0,9.5
milesight-01,1742826600,-77.0,10.0
milesight-02,1742826600,-92.0,9.8
tinovi-01,1742826600,-83.5,8.6
tinovi-02,1742826600,-71.0,10.5
tinovi-03,1742826600,-89.0,9.8
tinovi-04,1742826600,-73.5,9.5
tinovi-05,1742826600,-78.0,10.0
tinovi-06,1742826600,-79.0,8.1
milesight-01,1742827500,-76.0,8.8
milesight-02,1742827500,-88.5,9.3
tinovi-01,1742827500,-83.0,10.0
tinovi-02,1742827500,-71.0,8.5
tinovi-03,1742827500,-87.0,8.1
tinovi-04,1742827500,-73.0,9.0
tinovi-05,1742827500,-78.0,8.4
tinovi-06,1742827500,-78.0,9.0
milesight-01,1742828400,-80.0,10.0
milesight-02,1742828400,-87.0,8.3
tinovi-01,1742828400,-83.0,8.6
tinovi-02,1742828400,-69.0,9.0
tinovi-03,1742828400,-89.0,9.8
tinovi-04,1742828400,-72.5,8.1
tinovi-05,1742828400,-80.0,9.5
tinovi-06,1742828400,-77.5,8.8
milesight-01,1742829300,-77.0,8.3
milesight-02,1742829300,-87.5,8.1
tinovi-01,1742829300,-85.0,10.3
tinovi-02,1742829300,-73.5,9.9
tinovi-03,1742829300,-90.5,9.1
tinovi-04,1742829300,-74.0,10.0
tinovi-05,1742829300,-80.0,8.9
tinovi-06,1742829300,-78.0,9.8
milesight-01,1742830200,-74.0,9.0
milesight-02,1742830200,-85.0,10.0
tinovi-01,1742830200,-81.5,9.8
tinovi-02,1742830200,-72.0,9.8
tinovi-03,1742830200,-92.0,9.5
tinovi-04,1742830200,-72.5,8.6
tinovi-05,1742830200,-80.0,10.3
tinovi-06,1742830200,-80.0,9.9
milesight-01,1742831100,-75.0,8.1
milesight-02,1742831100,-81.5,9.3
tinovi-01,1742831100,-79.0,8.5
tinovi-02,1742831100,-69.5,9.1
tinovi-03,1742831100,-89.0,8.5
tinovi-04,1742831100,-72.0,8.8
tinovi-05,1742831100,-79.0,9.3
tinovi-06,1742831100,-78.0,9.0
milesight-01,1742832000,-77.0,8.0
milesight-02,1742832000,-86.0,9.8
tinovi-01,1742832000,-82.0,9.3
tinovi-02,1742832000,-69.0,9.5
tinovi-03,1742832000,-89.0,9.8
tinovi-04,1742832000,-73.5,9.1
tinovi-05,1742832000,-79.0,10.1
tinovi-06,1742832000,-79.5,8.4
milesight-01,1742832900,-77.0,9.8
milesight-02,1742832900,-87.0,9.4
tinovi-01,1742832900,-83.0,8.3
tinovi-02,1742832900,-70.0,8.0
tinovi-03,1742832900,-86.5,7.4
tinovi-04,1742832900,-72.0,9.5
tinovi-05,1742832900,-76.0,8.3
tinovi-06,1742832900,-77.0,9.3
milesight-01,1742833800,-77.0,9.3
milesight-02,1742833800,-75.0,7.5
tinovi-01,1742833800,-81.0,9.4
tinovi-02,1742833800,-69.0,9.0
tinovi-03,1742833800,-89.0,9.0
tinovi-04,1742833800,-72.5,7.8
tinovi-05,1742833800,-80.0,9.5
tinovi-06,1742833800,-78.0,8.4
milesight-01,1742834700,-78.0,9.0
milesight-02,1742834700,-85.0,10.3
tinovi-01,1742834700,-82.0,8.8
tinovi-02,1742834700,-69.0,9.0
tinovi-03,1742834700,-89.5,9.4
tinovi-04,1742834700,-74.0,9.3
tinovi-05,1742834700,-79.0,7.5
tinovi-06,1742834700,-80.0,10.0
milesight-01,1742835600,-75.0,7.5
milesight-02,1742835600,-86.0,8.5
tinovi-01,1742835600,-83.0,8.6
tinovi-02,1742835600,-69.0,7.5
tinovi-03,1742835600,-89.0,7.0
tinovi-04,1742835600,-72.5,7.9
tinovi-05,1742835600,-78.0,8.8
tinovi-06,1742835600,-79.5,8.9
milesight-01,1742836500,-76.5,10.4
milesight-02,1742836500,-86.0,9.6
tinovi-01,1742836500,-86.0,9.8
tinovi-02,1742836500,-70.5,8.9
tinovi-03,1742836500,-87.5,8.9
tinovi-04,1742836500,-74.0,9.3
tinovi-05,1742836500,-78.0,9.5
tinovi-06,1742836500,-80.0,7.3
milesight-01,1742837400,-75.0,9.5
milesight-02,1742837400,-89.0,10.0
tinovi-01,1742837400,-82.0,9.0
tinovi-02,1742837400,-69.0,6.3
tinovi-03,1742837400,-86.0,7.3
tinovi-04,1742837400,-73.0,9.3
tinovi-05,1742837400,-78.0,9.1
tinovi-06,1742837400,-78.0,10.0
milesight-01,1742838300,-77.5,9.5
milesight-02,1742838300,-84.0,9.8
tinovi-01,1742838300,-82.0,9.5
tinovi-02,1742838300,-69.0,9.0
tinovi-03,1742838300,-89.0,9.5
tinovi-04,1742838300,-72.0,6.5
tinovi-05,1742838300,-80.0,9.5
tinovi-06,1742838300,-78.0,7.3
milesight-01,1742839200,-79.0,7.8
milesight-02,1742839200,-81.0,7.3
tinovi-01,1742839200,-81.5,10.1
tinovi-02,1742839200,-71.0,9.3
tinovi-03,1742839200,-90.0,9.8
tinovi-04,1742839200,-75.0,9.5
tinovi-05,1742839200,-78.0,8.9
tinovi-06,1742839200,-79.0,9.6
milesight-01,1742840100,-79.5,10.5
milesight-02,1742840100,-85.5,9.9
tinovi-01,1742840100,-80.0,9.8
tinovi-02,1742840100,-69.0,8.0
tinovi-03,1742840100,-88.5,8.6
tinovi-04,1742840100,-73.0,7.5
tinovi-05,1742840100,-76.0,9.5
tinovi-06,1742840100,-79.0,8.5
milesight-01,1742841000,-74.0,7.3
milesight-02,1742841000,-95.0,8.3
tinovi-01,1742841000,-81.0,8.4
tinovi-02,1742841000,-71.0,9.8
tinovi-03,1742841000,-89.0,9.3
tinovi-04,1742841000,-73.0,9.0
tinovi-05,1742841000,-78.0,9.3
tinovi-06,1742841000,-80.0,8.1
milesight-01,1742841900,-78.0,9.8
milesight-02,1742841900,-80.0,8.9
tinovi-01,1742841900,-83.0,10.3
tinovi-02,1742841900,-69.5,8.3
tinovi-03,1742841900,-87.0,8.0
tinovi-04,1742841900,-74.0,9.5
tinovi-06,1742841900,-79.0,9.5
milesight-01,1742842800,-77.0,8.3
milesight-02,1742842800,-81.0,9.8
tinovi-01,1742842800,-80.5,8.4
tinovi-02,1742842800,-69.0,8.8
tinovi-03,1742842800,-87.0,8.5
tinovi-04,1742842800,-72.5,7.9
tinovi-05,1742842800,-78.0,8.8
tinovi-06,1742842800,-77.0,8.1
milesight-01,1742843700,-77.0,8.9
milesight-02,1742843700,-98.0,6.4
tinovi-01,1742843700,-83.0,9.8
tinovi-02,1742843700,-73.0,9.4
tinovi-03,1742843700,-89.0,9.6
tinovi-04,1742843700,-74.0,9.0
tinovi-05,1742843700,-78.0,10.0
tinovi-06,1742843700,-79.0,9.5
milesight-01,1742844600,-74.0,9.0
milesight-02,1742844600,-86.0,9.5
tinovi-01,1742844600,-80.5,9.6
tinovi-02,1742844600,-71.0,9.5
tinovi-03,1742844600,-88.0,9.0
tinovi-04,1742844600,-73.0,8.4
tinovi-05,1742844600,-78.0,9.0
tinovi-06,1742844600,-80.5,10.0
milesight-01,1742845500,-78.0,10.4
milesight-02,1742845500,-87.0,9.8
tinovi-01,1742845500,-80.0,7.8
tinovi-02,1742845500,-72.0,8.5
tinovi-03,1742845500,-90.0,7.6
tinovi-04,1742845500,-73.0,8.8
