nodeid,rdtimestamp,rssi,snr
tinovi-05,1711300500,-77.0,10.5
tinovi-06,1711300500,-83.0,9.5
milesight-01,1711301400,-71.0,9.3
milesight-02,1711301400,-82.5,10.4
tinovi-01,1711301400,-77.5,9.6
tinovi-02,1711301400,-78.0,8.9
tinovi-03,1711301400,-83.0,9.6
tinovi-04,1711301400,-95.0,6.8
tinovi-05,1711301400,-74.0,8.6
tinovi-06,1711301400,-80.0,7.5
milesight-01,1711302300,-71.0,8.8
milesight-02,1711302300,-77.0,8.3
tinovi-01,1711302300,-78.0,10.5
tinovi-02,1711302300,-79.0,9.3
tinovi-03,1711302300,-83.0,7.0
tinovi-04,1711302300,-98.0,7.9
tinovi-05,1711302300,-79.0,10.3
tinovi-06,1711302300,-83.0,9.3
milesight-01,1711303200,-74.0,9.9
milesight-02,1711303200,-79.0,9.3
tinovi-01,1711303200,-77.5,8.6
tinovi-02,1711303200,-77.0,10.0
tinovi-03,1711303200,-83.0,9.8
tinovi-04,1711303200,-92.0,8.0
tinovi-05,1711303200,-75.5,8.9
tinovi-06,1711303200,-82.0,8.9
milesight-01,1711304100,-71.0,9.0
milesight-02,1711304100,-87.0,10.0
tinovi-01,1711304100,-77.0,9.5
tinovi-02,1711304100,-77.0,9.8
tinovi-03,1711304100,-81.0,8.8
tinovi-04,1711304100,-92.5,8.5
tinovi-05,1711304100,-75.0,9.8
tinovi-06,1711304100,-81.0,10.0
milesight-01,1711305000,-72.5,9.4
milesight-02,1711305000,-76.5,8.9
tinovi-01,1711305000,-78.5,8.8
tinovi-02,1711305000,-80.0,8.1
tinovi-03,1711305000,-84.0,8.4
tinovi-04,1711305000,-99.0,9.0
tinovi-05,1711305000,-74.0,9.4
tinovi-06,1711305000,-81.0,7.8
milesight-01,1711305900,-73.0,8.3
milesight-02,1711305900,-79.0,8.0
tinovi-01,1711305900,-78.0,10.3
tinovi-02,1711305900,-78.0,9.0
tinovi-03,1711305900,-81.0,10.0
tinovi-04,1711305900,-97.0,7.4
tinovi-05,1711305900,-73.0,8.3
tinovi-06,1711305900,-83.0,9.0
milesight-01,1711306800,-73.0,10.0
milesight-02,1711306800,-77.0,8.8
tinovi-01,1711306800,-78.0,10.0
tinovi-02,1711306800,-76.0,7.0
tinovi-03,1711306800,-83.0,8.3
tinovi-04,1711306800,-95.0,8.5
tinovi-05,1711306800,-76.0,9.3
tinovi-06,1711306800,-80.0,7.5
milesight-01,1711307700,-72.0,9.0
milesight-02,1711307700,-83.0,10.0
tinovi-01,1711307700,-77.0,8.8
tinovi-02,1711307700,-78.5,9.3
tinovi-03,1711307700,-80.0,8.5
tinovi-04,1711307700,-94.0,9.0
tinovi-05,1711307700,-77.0,10.8
tinovi-06,1711307700,-83.0,9.5
milesight-01,1711308600,-73.0,9.3
milesight-02,1711308600,-80.5,8.6
tinovi-01,1711308600,-81.0,9.3
tinovi-02,1711308600,-81.0,9.5
tinovi-03,1711308600,-81.5,9.1
tinovi-04,1711308600,-93.0,9.5
tinovi-05,1711308600,-74.5,8.4
tinovi-06,1711308600,-82.0,9.0
milesight-01,1711309500,-73.0,7.3
milesight-02,1711309500,-77.0,9.8
tinovi-01,1711309500,-77.5,8.4
tinovi-02,1711309500,-77.5,8.5
